id,market_id,name,city,state,county,event_type,cadence,is_recurring_venue,food_truck_friendly,trip_type,verification_status,needs_confirmation,distance_from_columbia_mi,month,typical_dates,attendance_estimate,attendance_text,food_vendor_fee,application_method,contact_name,contact_email,contact_phone,homepage_url,primary_source_url,lat,lng,notes,last_verified
510,1,Serenity Valley Winery,California,MO,Moniteau,winery,recurring,true,excluded,hometown,excluded,false,33,,,,,,,,,,,,38.6303,-92.5666,"EXCLUDE: own exclusive kitchen, bans outside food.",2026-07-13
511,1,Head's Blacktop Harley-Davidson,Columbia,MO,Boone,moto_rally,weekly,true,unconfirmed,hometown,partial,true,0,,Wed Night Ride & Social (weekly) + Biker Swap Meet (4th Sat),,Rider gatherings,,Call the dealership (5704 Freedom Dr),,,,,,38.9517,-92.3341,"HOME-CITY recurring, zero travel. Weekly Wed ride + monthly Sat swap meet. Confirm cart access.",2026-07-13
512,24,FORR Show Me Rally / Bikers Homecoming,Urich,MO,Henry,moto_rally,annual,false,explicit_yes,day_trip,verified,false,92,8,"Aug 20-23, 2026",,Multi-day camping 'tent city',,Open vendor application (Freedom of Road Riders Sponsor & Vendor forms),,,,forr.info,forr.info,38.4589,-94.0002,OPEN application-based vendors + captive overnight crowd shuttled to food. ~1.5 hr.,2026-07-13
513,18,Lake of the Ozarks Bikefest,Osage Beach,MO,Camden,moto_rally,annual,false,concession_friendly,day_trip,partial,true,95,9,"Sep 15-20, 2026 (6 days)",,"125,000+ riders",Vendor Village booth fee,Contracted Vendor Village - health inspection + $500k liability insurance (info@lakebikefest.com),,,,lakebikefest.com,lakebikefest.com,38.1503,-92.6382,MASSIVE 6-day rally but gated: insurance + health inspection required. Poker runs at Leprechaun's Corner/Shady Gators.,2026-07-13
514,1,Santa's Helpers Memorial Toy Run,Sedalia,MO,Pettis,moto_rally,annual,false,unconfirmed,day_trip,partial,true,68,12,Fall/holiday,,Riders gather + eat on-site,,Contact organizer,,,,,,38.7045,-93.2283,"Gathers riders at Yeager's Cycle (3001 S Limit Ave), ~1 hr. Riders eat on-site.",2026-07-13
515,1,Moniteau County Fair,California,MO,Moniteau,county_fair,annual,false,concession_friendly,hometown,partial,true,33,8,Early-mid Aug 2026,,County-fair crowd,,Apply-to-vend (no online form - contact fair board),,,,,,38.6303,-92.5666,~50 min. Accepts outside vendors; contact board. CHECK carnival-exclusivity clause.,2026-07-13
516,1,NICA #1 - Binder Lake Mini Bash,Jefferson City,MO,Cole,mtb_gravel,annual,false,unconfirmed,hometown,partial,true,32,8,"Aug 29-30, 2026",,"Youth MTB + families, all day",,Confirm vendor policy (missourimtb.org),,,,missourimtb.org,missourimtb.org,38.5767,-92.1735,CLOSEST NICA (~35 min). Captive all-day family crowd.,2026-07-13
517,19,NICA #2 - Escape from the Lion's Den,Rolla,MO,Phelps,mtb_gravel,annual,false,unconfirmed,day_trip,partial,true,78,9,"Sep 12-13, 2026",,Youth MTB + families,,Confirm (missourimtb.org),,,,missourimtb.org,missourimtb.org,37.9514,-91.7713,~1 hr 15. Same weekend as Loki Burnin at the Bluff.,2026-07-13
518,3,Loki - The Incinerator,Eureka,MO,St. Louis,mtb_gravel,annual,false,unconfirmed,day_trip,partial,true,115,9,"Sep 20, 2026",,Enduro/XC field + crews,,Confirm (lokievents.com),,,,lokievents.com,lokievents.com,38.5028,-90.6251,Route 66 State Park ~2 hr. Long dwell time.,2026-07-13
519,3,The Equalizer 50K/100K (MO gravel champ),Marthasville,MO,Warren,mtb_gravel,annual,false,concession_friendly,day_trip,partial,true,95,11,"Nov 7, 2026",,Gravel field,,Coordinate/differentiate,,,,bikesignup.com,bikesignup.com,38.6295,-91.0499,"~1.5-2 hr, Katy Trail. Already has a burger vendor (KT Caboose) - differentiate.",2026-07-13
520,2,USSSA July Diamond Challenge,Lee's Summit,MO,Jackson,sports_tournament,one_time,false,unconfirmed,day_trip,partial,true,110,7,"Jul 17-19, 2026",,59 teams baseball,,Confirm w/ complex,,,,mobaseball.usssa.com,mobaseball.usssa.com,38.9108,-94.3822,KC metro ~1.5-2 hr. Big captive field; confirm vendor access.,2026-07-13
521,1,Show Me State Air Show,Jefferson City,MO,Cole,air_show,annual,false,excluded,hometown,partial,true,32,9,"Sep 12-13, 2026",,Air-show crowd,,Currently NOT accepting food-vendor apps - ask anyway,,,,showmestateairshow.org,showmestateairshow.org,38.5767,-92.1735,CLOSEST big event (~35 min) but food-vendor apps reportedly closed. Worth a direct ask.,2026-07-13
522,2,American Royal World Series of BBQ,Kansas City KS,MO,Wyandotte,bbq_fest,annual,false,concession_friendly,day_trip,partial,true,135,9,"Sep 30-Oct 4, 2026",,"55,000-60,000, open to public",,Apply (americanroyal.com),,,,americanroyal.com,americanroyal.com,39.1142,-94.7405,"One of the world's largest BBQ contests, open to public. ~2.5-3 hr (KS side).",2026-07-13
523,4,Birthplace of Route 66 Festival,Springfield,MO,Greene,car_show,annual,false,concession_friendly,overnight,partial,true,165,8,"Aug 7-8, 2026",,"65,000+ (car + motorcycle show)",,Juried vendor application (route66festivalsgf.com/vendors) - city limiting outside vendors for centennial,,,,route66festivalsgf.com,route66festivalsgf.com,37.209,-93.2923,~2.5 hr SW. Big but competitive/limited vendor access.,2026-07-13
524,2,PBR Outlaw Days,Kansas City,MO,Jackson,rodeo,one_time,false,unconfirmed,day_trip,partial,true,125,10,"Oct 23-25, 2026",,Free 3-day street festival,,Confirm street-festival vendor policy,,,,pbr.com,pbr.com,39.0997,-94.5786,T-Mobile Center ~2 hr. Anchored by a free street festival crowd.,2026-07-13
525,20,Sikeston Jaycee Bootheel Rodeo,Sikeston,MO,Scott,rodeo,annual,false,unconfirmed,overnight,partial,true,190,8,"Aug 5-8, 2026",,Big regional rodeo,,Confirm w/ Sikeston Jaycees,,,,sikestonrodeo.com,sikestonrodeo.com,36.8767,-89.5879,~3 hr SE (edge of range). Vendor access likely exists; confirm.,2026-07-13
526,1,My Car Swap Meet,Sedalia,MO,Pettis,car_show,annual,false,explicit_yes,day_trip,verified,false,68,10,"Oct 16-17, 2026",,Swap-meet crowd,$50 preregistered / $60 gate,Simple apply-as-vendor booth,,,,mycarswapmeet.com,mycarswapmeet.com,38.7045,-93.2283,MO State Fairgrounds ~1 hr. EASY low-barrier vendor booths.,2026-07-13
